zeitraum,unterkunft_name,preis_chf
open air,"Klara 1022 - Olma, Spital, Universität St. Gallen",501.0
open air,Designstudio 55 m² – St. Georgen-Straße,308.67
open air,Stilvolles Studio Apartment bei der Messe Olma,357.67
open air,Gemütliche Souterrainwohnung mit gratis Parkplatz,244.0
open air,Die gesamte MIND the GAP Villa,697.0
open air,Studio Apartment mit Seesicht,205.67
open air,Moderne Wohnung nahe Messe und Zentrum,374.0
open air,"BLIV: Design-Apartment mit Parkplatz, nahe Zentrum",557.0
open air,Zimmer an der Fahrradroute am Bodensee,132.67
open air,Moderne Stadtwohnung,339.0
open air,Gemütliches Zimmer im ruhigen Rorschacherberg Haus - 2,88.33
open air,Casa Siddhartha - Th. Mann,82.67
open air,"schöne Wohnung in Flawil - neu, naturnah, ruhig",198.0
open air,Seeblick-Apartment mit Balkon,241.67
open air,Zimmer für 4 Personen,136.67
open air,Komfortables Zimmer/Bad & Frühstück,77.33
open air,Das Rocky Docky-Haus gemütliche Wohnung in Andwil,114.33
open air,"""Säntis"", ruhige Lage, freundl. Zimmer "", seenah.",76.67
open air,Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,69.0
open air,"Klara 1031 - Olma, Spital, Universität St. Gallen",370.0
open air,Top moderne Wohnung sehr zentral zur Messe,357.67
open air,"YELLOW INN B 23 nähe Uni, Olma, Spital, FHS",258.33
open air,"YELLOW INN B 27 nähe Uni, Olma, Spital, FHS",258.33
open air,Altstadtfeeling am See.,111.67
open air,Zimmer für 3 Personen,129.67
open air,"YELLOW INN B 25 nähe Uni, Olma, Spital, FHS",258.33
open air,Doppelzimmer im Kurort Heiden,115.33
open air,book2stay: modernes Apartment an Top Lage (Olma Me,371.0
open air,Stilvolle Wohnung mit Balkon nahe Bodensee,207.33
open air,Schöne Wohnung 5 Minuten vom Bodensee entfernt,224.0
open air,hübsche 2 1/2 Zimmer Dachwohnung,100.0
open air,Vintage Rustica 32 zur Olma 1 Min.,241.67
open air,Zimmer im Rorschacherberg,73.0
open air,book2stay 2-Zi Apartment #6 Ebenalp bis 4 Personen,466.33
open air,"YELLOW INN 9 nähe Olma, Uni, Spital, FHS",258.33
olma,Gemütliche Wohnung,80.2
olma,"St.Gallen zentral, ruhig, bei Badeweihern und Wald",116.8
olma,gemütliche Dachwohnung,93.6
olma,Weltbürger:in 7,122.8
olma,Historischer Charme in der Altstadt. Superior-DZ,127.4
olma,Bella Vista,100.3
olma,Bijoux Ferienwohnung auf Bauernhof im Wald,91.6
olma,2. Modernes Apartment 2 Min vom Bahnhof,153.3
olma,Zur Geduld (direkt am Bahnhof),84.5
olma,Studio Trailalps: in der Nähe von St. Gallen,65.7
olma,1 Zimmerwohnung ohne Küche mitten im Zentrum,76.6
olma,Wohnung 2-3 Bett in Rorschach am Bodensee,91.8
olma,Idyllische Wohnung in der Natur,142.6
olma,Ferienwohnung Narnia,99.1
olma,"Stilvolles, historisches Doppelzimmer/ Altstadt",104.7
olma,gemütliche Wohnung,118.5
olma,Helle Wohnung in Rorschacherberg am Bodensee,73.0
olma,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,125.7
olma,"Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum",218.3
olma,Ganze Wohnung mitten in der Altstadt von Arbon,90.1
olma,Charmante Wohnung im Zentrum von Goldach,108.2
olma,Appartment mit luxeriösem Bad,127.9
olma,Gästezimmer mit Dusche/WC,71.1
olma,Zentrales Studio | 5 Min. zum Bahnhof,118.6
olma,1. Modernes Apartment 2 Min vom Bahnhof,153.3
olma,Charmante grosse Wohnung nähe Zentrum und Autobahn,124.5
olma,Es können zwei Personen darin schlafen.,53.5
olma,Exklusive Jugendstil-Wohnung Nähe Olma/Uni/Zentrum,164.4
olma,Zentrales Apartment | ÖV-Ticket | Parkplatz | Ruhig,230.2
olma,Historischer Charme in der Altstadt. Superior DZ,133.4
olma,Moderne Einliegerwohnung auf Biobauernhof,103.4
olma,Ferienwohnung im Fürstenland 2.OG,91.3
olma,"4-Zi-Suite mit Balkon & Flair, zentrumsnah, ruhig",218.6
olma,"Stilvolle Wohnung, historischer Charme/Altstadt",233.0
olma,Stilvolles Doppelzimmer/Historisches Altstadtflair,111.9
olma,Moderne Wohnung nahe Messe und Zentrum,200.8
olma,Studio mit Charme und Aussicht,91.1
olma,Ruhiges Tiny House in der Nähe des Waldes,123.3
olma,Modernes Studio nahe Bodensee | Ruhig & zentral,92.8
olma,Zentrales Studio | 5 Min. zum Bahnhof,120.0
olma,Seeblick-Apartment mit Balkon,147.3
olma,Idyllisches Plätzchen in Thurgauer Weiler,84.2
olma,Fühlen sie sich wie zu Hause,85.2
olma,Charmante Wohnung mit Blick zum Säntis,168.8
olma,Moderne Wohnung nahe Messe und Zentrum,200.8
olma,Charmante und zentrale Wohnung am Weiherpark Arbon,128.0
olma,Altstadtflair in historischem Doppelzimmer,113.0
olma,"Klara 1031 - Olma, Spital, Universität St. Gallen",214.4
olma,Haus am Bodensee mit grossem Garten,150.5
olma,Schlossapartament,100.8
olma,Stilvolles Studio Apartment bei der Messe Olma,197.3
olma,Zentral gelegenes Schmuckstück,112.2
olma,See-Wohnung mit Gratisparkplatz,134.3
olma,"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",59.4
olma,book2stay: modernes Apartment an Top Lage (Olma Me,192.2
olma,St Gallen City- 5 min. vom Bahnhof- klein & fein,133.7
olma,"Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte",97.1
olma,"Herzige Dachwohnung in St. Georgen, St. Gallen",159.1
olma,book2stay 2-Zi Apartment #6 Ebenalp bis 4 Personen,238.2
olma,book2stay: modernes Studio an Top Lage (Olma Messe,180.6
olma,Elegante Maisonette mit See-Panorama in Rorschach,233.3
olma,CityLodge St.Gallen - Großes Doppelzimmer,113.2
olma,Alphäuschen am Wald inmitten Natur mit Sauna,249.4
olma,Stilvoll&zentral in St.Gallen -WYBA Living,158.7
olma,S-Cape Suite&Spa - Pure Auszeit,228.0
olma,Superior Apartment mit Seesicht,165.8
olma,Zentrale Stadtwohnung mit Terasse,226.2
olma,Premium Atmosphäre pur,371.5
olma,book2stay 2.5-Zimmer Apartment #8 Säntis bis zu 6,263.2
olma,Nani’s Höckli im Appenzellerland,81.4
olma,book2stay 2-Zi Wohnung #5 Kronberg bis 4 Personen,238.2
olma,Ruhiger Ort auf dem Dorfhügel.,46.1
olma,Renoviertes Apartment 1 Schlafzimmer - Felsenstr.,231.8
olma,Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,207.7
olma,Gemütliche Ferienwohnung auf Bio Bauernhof,110.7
olma,Casa Siddhartha - R. Musil,69.3
olma,1- Zimmer Einlieger-Wohnung (Studio Apartment),90.6
olma,Designstudio 65 m² - St. Georgen-Straße,244.8
olma,"Charmante, sehr zentral gelegene 4-Zimmerwohnung",169.3
olma,Moderne Stadtwohnung,181.0
olma,Gemütliches Zimmer im ruhigen Rorschacherberg Haus - 2,74.7
olma,Luxuriöses Studio 25 m² - Mühlensteg,184.4
olma,Ferien auf dem Billenberghof,150.9
olma,Apartment mit atemberaubender Panoramasicht,269.0
olma,Vintage Rustica 31 zur Olma 1 Min.,178.1
olma,Das Rocky Docky-Haus gemütliche Wohnung in Andwil,88.9
olma,Ferienwohnung Hirschen,138.1
olma,Mein Haus ihr Haus,81.2
olma,Boutique Studio mit Balkon 30m2 - Lehnstrasse,181.2
olma,Ganzes Haus mit Pool und Homecinema in Rotmonten,508.3
olma,book2stay 2-Zi Apartment #7 Altmann bis 4 Personen,246.2
olma,"""Säntis"", ruhige Lage, freundl. Zimmer "", seenah.",57.7
olma,Geräumige 95 m² Wohnung • Balkon • Bergblick,156.8
olma,Doppelzimmer ruhige Lage nahe ÖV,112.7
olma,Stilvolle Wohnung mit Balkon nahe Bodensee,159.3
olma,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",178.1
olma,Natürliches Design & Balkon,240.2
olma,Heimeliges altes Ferienhäuschen in Wald AR,102.8
olma,Studio Apartment mit Seesicht,155.0
olma,Modern Apartment mit 1 Schlafzimmer - Steigerstr.,244.2
