Name,Gesamtpreis in CHF,Preis pro Nacht in CHF,Zeitraum
Wellnessoase,888,296.00,Openair
Appenzeller Hausteil mit Garten,449,149.67,Openair
Helle Wohnung in Rorschacherberg am Bodensee,271,90.33,Openair
Moderne Wohnung nahe Messe und Zentrum,1’115,371.67,Openair
"Klara 1033 - Olma, Spital, Universität St. Gallen",963,321.00,Openair
Vintage Rustica 31 zur Olma 1 Min.,716,238.67,Openair
"Klara 1014 – Olma, Spital, Uni St. Gallen",1’022,340.67,Openair
Haus MiLu Ferienwohnung,450,150.00,Openair
"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",228,76.00,Openair
3 Doppelzimmer Apartment in 9320 Arbon 8 A,425,141.67,Openair
"Haus mit Garten, ruhig, Top Aussicht  (Zimmer 2)",258,86.00,Openair
Doppelzimmer ruhige Lage nahe ÖV,398,132.67,Openair
3 Doppelzimmer Apartment in 9320 Arbon 8 A,425,141.67,Openair
Modernes Studio – Steigerstraße,701,233.67,Openair
Einzelbett in einem Schlafsaal mit 6 Betten,181,60.33,Openair
Designstudio 55 m² – St. Georgen-Straße,919,306.33,Openair
Superior Apartment mit Seesicht,585,195.00,Openair
S-Cape Suite&Spa - Pure Auszeit,704,234.67,Openair
Stilvolle Wohnung mit Balkon nahe Bodensee,614,204.67,Openair
Studio mit Balkon in der Altstadt von St. Gallen,1’080,360.00,Openair
Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,155,51.67,Openair
Dom Studio K ohne Reinigung,798,266.00,Openair
Auszeit an der Sitter (Hunde erlaubt),444,148.00,Openair
Das Rocky Docky-Haus gemütliche Wohnung in Andwil,343,114.33,Openair
See-Wohnung mit Gratisparkplatz,625,208.33,Openair
Studio Apartment mit Seesicht,549,183.00,Openair
Dom Studio M ohne Reinigung,827,275.67,Openair
"schöne Wohnung in Flawil - neu, naturnah, ruhig",594,198.00,Openair
Casa Siddhartha - Th. Mann,179,59.67,Openair
book2stay 2.5-Zimmer Apartment #8 Säntis bis zu 6,1’540,513.33,Openair
"YELLOW INN B 27 nähe Uni, Olma, Spital, FHS",716,238.67,Openair
book2stay 2.5-Zimmer Apartment #8 Säntis bis zu 6,1’540,513.33,Openair
Stilvolles Studio Apartment bei der Messe Olma,1’066,355.33,Openair
Schöne Wohnung 5 Minuten vom Bodensee entfernt,672,224.00,Openair
Bijoux am Bodensee,204,68.00,Openair
"Klara 1031 - Olma, Spital, Universität St. Gallen",1’103,367.67,Openair
Doppelzimmer im Kurort Heiden,277,92.33,Openair
"""Säntis"", ruhige Lage, freundl. Zimmer "", seenah.",230,76.67,Openair
"YELLOW INN B 23 nähe Uni, Olma, Spital, FHS",716,238.67,Openair
Moderne Stadtwohnung,1’010,336.67,Openair
"YELLOW INN 2 in der Nähe von Uni, Olma, Spital, FHS",716,238.67,Openair
NTN HoSTEL 3,190,63.33,Openair
Gemütliches Zimmer im ruhigen Rorschacherberg Haus - 2,265,88.33,Openair
NTN House,304,101.33,Openair
Zimmer für 4 Personen,403,134.33,Openair
Zimmer für 3 Personen,382,127.33,Openair
Seeblick-Apartment mit Balkon,717,239.00,Openair
"YELLOW INN 4 nähe Uni, Olma, Spital, FHS",789,263.00,Openair
Komfortables Zimmer/Bad & Frühstück,232,77.33,Openair
Gemütliches Studio im Zentrum von St. Gallen (nur für Frauen),237,79.00,Openair
book2stay 2-Zi Apartment #6 Ebenalp bis 4 Personen,1’392,464.00,Openair
Altstadtfeeling am See.,335,111.67,Openair
"YELLOW INN B 21 nähe Uni, Olma, Spital, FHS",665,221.67,Openair
book2stay 2-Zi Apartment #4 Hoher Kasten bis 4 Per,1’392,464.00,Openair
"YELLOW INN 9 nähe Olma, Uni, Spital, FHS",716,238.67,Openair
"YELLOW INN B 25 nähe Uni, Olma, Spital, FHS",716,238.67,Openair
Top moderne Wohnung sehr zentral zur Messe,1’066,355.33,Openair
Das Haus mit dem Schwein,436,43.60,Olma
"St.Gallen zentral, ruhig, bei Badeweihern und Wald",1030,103.00,Olma
Gemütliche Wohnung,779,77.90,Olma
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,773,77.30,Olma
4 Zimmer mit Charme an bester Lage,1’306,130.60,Olma
Zur Geduld (direkt am Bahnhof),706,70.60,Olma
Studio mit Panoramaaussicht,600,60.00,Olma
Schönes Zimmer in der Nähe von HSG,600,60.00,Olma
Historischer Charme in der Altstadt. Superior DZ,1157,115.70,Olma
Ferienwohnung im Fürstenland 2.OG,913,91.30,Olma
2. Modernes Apartment 2 Min vom Bahnhof,1510,151.00,Olma
1 Zimmerwohnung ohne Küche mitten im Zentrum,743,74.30,Olma
"Historischer Charme in der Altstadt.
Superior-DZ",1239,123.90,Olma
"2 Zimmer mit Balkon, Netflix und Mietfahrräder",1’046,104.60,Olma
BLIV: Grosszügiges Altbaujuwel im Zentrum,3’421,342.10,Olma
"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",842,84.20,Olma
Studio mit Charme und Aussicht,600,60.00,Olma
Gästezimmer mit Dusche/WC,688,68.80,Olma
Ganze Wohnung mitten in der Altstadt von Arbon,612,61.20,Olma
Fühlen sie sich wie zu Hause,541,54.10,Olma
Idyllische Wohnung in der Natur,1426,142.60,Olma
"2.5 Zimmer, modern, ruhig und zentrumsnah",1’373,137.30,Olma
gemütliche Dachwohnung,913,91.30,Olma
Bella Vista,1003,100.30,Olma
Ferienwohnung Narnia,876,87.60,Olma
2.5 Zimmer Dachwohnung mit Gartensitzplatz,1’078,107.80,Olma
"Stilvolles, historisches Doppelzimmer/ Altstadt",1024,102.40,Olma
Mein Haus ihr Haus,501,50.10,Olma
Charmante Wohnung im Zentrum von Goldach,771,77.10,Olma
Bijoux Ferienwohnung auf Bauernhof im Wald,916,91.60,Olma
gemütliches Zimmer mit Privatsphäre,428,42.80,Olma
Kernsanierte Wohnung nähe Bahnhof und Zentrum,1’150,115.00,Olma
Weltbürger:in 7,1090,109.00,Olma
TouchBed | Budget Zwei-Bett-Zimmer,878,87.80,Olma
Es können zwei Personen darin schlafen.,397,39.70,Olma
Die gesamte MIND the GAP Villa,5’733,573.30,Olma
1er Zimmer ruhig 5 Min. bis ÖV,602,60.20,Olma
Studio Trailalps: in der Nähe von St. Gallen,657,65.70,Olma
Haus am Bodensee mit grossem Garten,1505,150.50,Olma
Wohnung 2-3 Bett in Rorschach am Bodensee,891,89.10,Olma
Modernes Studio nahe Bodensee | Ruhig & zentral,640,64.00,Olma
Ferienwohnung klein aber fein,840,84.00,Olma
Grosszügige Garten-Wohnung,1’740,174.00,Olma
Casa Siddhartha - „H.Hesse“,429,42.90,Olma
1. Modernes Apartment 2 Min vom Bahnhof,1510,151.00,Olma
spezielle Wohnung in Goldach,748,74.80,Olma
"Stilvolle Wohnung, historischer Charme/Altstadt",2289,228.90,Olma
Idyllisches Plätzchen in Thurgauer Weiler,842,84.20,Olma
Charmante grosse Wohnung nähe Zentrum und Autobahn,972,97.20,Olma
hübsche Wohnung mit Sonnenterrasse,980,98.00,Olma
"Zwei helle Zimmer, Küche und Bad",840,84.00,Olma
Modernes Apartment mit Balkon & Parkplatz/Nähe See,2’013,201.30,Olma
Genieße den Seeblick von der Dachterrasse,1’666,166.60,Olma
Charmante Wohnung mit Blick zum Säntis,1688,168.80,Olma
Ferien auf dem Billenberghof,1486,148.60,Olma
Stadtstudio,899,89.90,Olma
"Gelb, gelb, gelb, gelb!",1’596,159.60,Olma
Ruhiges Loft am Park (Anliegerstrasse) - Bodensee,759,75.90,Olma
Ferienwohnung Hirschen,1381,138.10,Olma
Casa Siddhartha - R. Musil,497,49.70,Olma
Appartment mit luxeriösem Bad,1256,125.60,Olma
TouchBed | Budget-Studio,1’237,123.70,Olma
"BLIV: Design-Apartment mit Parkplatz, nahe Zentrum",3’070,307.00,Olma
Charmante und zentrale Wohnung am Weiherpark Arbon,1280,128.00,Olma
Zentrales Studio | 5 Min. zum Bahnhof,1177,117.70,Olma
Historisches Penthouse-Apartment in der Altstadt,1’793,179.30,Olma
Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik,418,41.80,Olma
TouchBed | Budget Einzelzimmer,897,89.70,Olma
Zentrales Studio | 5 Min. zum Bahnhof,1163,116.30,Olma
"Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum",2160,216.00,Olma
Ruhiger Ort auf dem Dorfhügel.,461,46.10,Olma
TouchBed | Große 4-Zimmer-Wohnung im Obergeschoss,4’011,401.10,Olma
"Charmante, sehr zentral gelegene 4-Zimmerwohnung",1666,166.60,Olma
Ruhe für Musiker! B&B am Bodensee.,949,94.90,Olma
BLIV: Exklusive Dachgeschosswohnung im Zentrum,2’854,285.40,Olma
Schönes Zimmer in der Nähe des Stadtzentrums,383,38.30,Olma
Ruhiger Ort auf dem Dorfhügel Wittenbach,381,38.10,Olma
Zimmer Bulli,554,55.40,Olma
St Gallen City- 5 min. vom Bahnhof- klein & fein,1199,119.90,Olma
Gemütliche Ferienwohnung auf Bio Bauernhof,992,99.20,Olma
Altstadtflair in historischem Doppelzimmer,1107,110.70,Olma
"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",594,59.40,Olma
grosse Privat-Zimmer in sonnigem Einfamilienhaus,555,55.50,Olma
Schlossapartament,1008,100.80,Olma
Ruhiges Tiny House in der Nähe des Waldes,1233,123.30,Olma
Zu Gast im Hecht Rehetobel,704,70.40,Olma
Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,2054,205.40,Olma
Stilvolles Doppelzimmer/Historisches Altstadtflair,1096,109.60,Olma
Heimeliges altes Ferienhäuschen in Wald AR,1028,102.80,Olma
Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,418,41.80,Olma
"""Säntis"", ruhige Lage, freundl. Zimmer "", seenah.",577,57.70,Olma
Stadtwohnung mit Küche & gratis Parkplatz,2’042,204.20,Olma
Geräumige 95 m² Wohnung • Balkon • Bergblick,1430,143.00,Olma
Zimmer an der Fahrradroute am Bodensee,824,82.40,Olma
"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",1583,158.30,Olma
Säntiszimmer,438,43.80,Olma
TouchBed | Große 3-Zimmer-Wohnung Erdgeschoss,3’062,306.20,Olma
St. Gallen ist schön,506,50.60,Olma
Helle Wohnung in Rorschacherberg am Bodensee,730,73.00,Olma
Exklusive Jugendstil-Wohnung Nähe Olma/Uni/Zentrum,1621,162.10,Olma
